week,kz_kreis,cases,year,timestamp
1,01001,0.0,2020,2019-12-30
2,01001,0.0,2020,2020-01-06
3,01001,0.0,2020,2020-01-13
4,01001,0.0,2020,2020-01-20
5,01001,0.0,2020,2020-01-27
6,01001,0.0,2020,2020-02-03
7,01001,0.0,2020,2020-02-10
8,01001,0.0,2020,2020-02-17
9,01001,0.0,2020,2020-02-24
10,01001,0.0,2020,2020-03-02
11,01001,4.0,2020,2020-03-09
12,01001,9.0,2020,2020-03-16
13,01001,9.0,2020,2020-03-23
14,01001,6.0,2020,2020-03-30
15,01001,4.0,2020,2020-04-06
16,01001,0.0,2020,2020-04-13
17,01001,0.0,2020,2020-04-20
18,01001,0.0,2020,2020-04-27
19,01001,1.0,2020,2020-05-04
20,01001,1.0,2020,2020-05-11
21,01001,5.0,2020,2020-05-18
22,01001,3.0,2020,2020-05-25
23,01001,1.0,2020,2020-06-01
24,01001,1.0,2020,2020-06-08
25,01001,2.0,2020,2020-06-15
26,01001,2.0,2020,2020-06-22
27,01001,0.0,2020,2020-06-29
28,01001,0.0,2020,2020-07-06
29,01001,0.0,2020,2020-07-13
30,01001,5.0,2020,2020-07-20
31,01001,5.0,2020,2020-07-27
32,01001,1.0,2020,2020-08-03
33,01001,7.0,2020,2020-08-10
34,01001,4.0,2020,2020-08-17
35,01001,3.0,2020,2020-08-24
36,01001,8.0,2020,2020-08-31
37,01001,0.0,2020,2020-09-07
38,01001,2.0,2020,2020-09-14
39,01001,26.0,2020,2020-09-21
40,01001,16.0,2020,2020-09-28
41,01001,13.0,2020,2020-10-05
42,01001,13.0,2020,2020-10-12
43,01001,34.0,2020,2020-10-19
44,01001,38.0,2020,2020-10-26
45,01001,24.0,2020,2020-11-02
46,01001,32.0,2020,2020-11-09
47,01001,23.0,2020,2020-11-16
48,01001,16.0,2020,2020-11-23
49,01001,18.0,2020,2020-11-30
50,01001,32.0,2020,2020-12-07
51,01001,60.0,2020,2020-12-14
52,01001,41.0,2020,2020-12-21
53,01001,44.0,2020,2020-12-28
1,01002,0.0,2020,2019-12-30
2,01002,0.0,2020,2020-01-06
3,01002,0.0,2020,2020-01-13
4,01002,0.0,2020,2020-01-20
5,01002,0.0,2020,2020-01-27
6,01002,0.0,2020,2020-02-03
7,01002,0.0,2020,2020-02-10
8,01002,0.0,2020,2020-02-17
9,01002,0.0,2020,2020-02-24
10,01002,0.0,2020,2020-03-02
11,01002,13.0,2020,2020-03-09
12,01002,28.0,2020,2020-03-16
13,01002,71.0,2020,2020-03-23
14,01002,51.0,2020,2020-03-30
15,01002,31.0,2020,2020-04-06
16,01002,27.0,2020,2020-04-13
17,01002,32.0,2020,2020-04-20
18,01002,13.0,2020,2020-04-27
19,01002,11.0,2020,2020-05-04
20,01002,1.0,2020,2020-05-11
21,01002,0.0,2020,2020-05-18
22,01002,1.0,2020,2020-05-25
23,01002,0.0,2020,2020-06-01
24,01002,2.0,2020,2020-06-08
25,01002,0.0,2020,2020-06-15
26,01002,3.0,2020,2020-06-22
27,01002,10.0,2020,2020-06-29
28,01002,2.0,2020,2020-07-06
29,01002,12.0,2020,2020-07-13
30,01002,6.0,2020,2020-07-20
31,01002,20.0,2020,2020-07-27
32,01002,17.0,2020,2020-08-03
33,01002,39.0,2020,2020-08-10
34,01002,31.0,2020,2020-08-17
35,01002,9.0,2020,2020-08-24
36,01002,5.0,2020,2020-08-31
37,01002,12.0,2020,2020-09-07
38,01002,7.0,2020,2020-09-14
39,01002,6.0,2020,2020-09-21
40,01002,15.0,2020,2020-09-28
41,01002,9.0,2020,2020-10-05
42,01002,30.0,2020,2020-10-12
43,01002,68.0,2020,2020-10-19
44,01002,94.0,2020,2020-10-26
45,01002,119.0,2020,2020-11-02
46,01002,126.0,2020,2020-11-09
47,01002,157.0,2020,2020-11-16
48,01002,178.0,2020,2020-11-23
49,01002,183.0,2020,2020-11-30
50,01002,264.0,2020,2020-12-07
51,01002,262.0,2020,2020-12-14
52,01002,234.0,2020,2020-12-21
53,01002,139.0,2020,2020-12-28
1,01003,0.0,2020,2019-12-30
2,01003,0.0,2020,2020-01-06
3,01003,0.0,2020,2020-01-13
4,01003,0.0,2020,2020-01-20
5,01003,0.0,2020,2020-01-27
6,01003,0.0,2020,2020-02-03
7,01003,0.0,2020,2020-02-10
8,01003,0.0,2020,2020-02-17
9,01003,1.0,2020,2020-02-24
10,01003,1.0,2020,2020-03-02
11,01003,8.0,2020,2020-03-09
12,01003,28.0,2020,2020-03-16
13,01003,45.0,2020,2020-03-23
14,01003,25.0,2020,2020-03-30
15,01003,27.0,2020,2020-04-06
16,01003,18.0,2020,2020-04-13
17,01003,4.0,2020,2020-04-20
18,01003,6.0,2020,2020-04-27
19,01003,1.0,2020,2020-05-04
20,01003,0.0,2020,2020-05-11
21,01003,1.0,2020,2020-05-18
22,01003,1.0,2020,2020-05-25
23,01003,0.0,2020,2020-06-01
24,01003,0.0,2020,2020-06-08
25,01003,2.0,2020,2020-06-15
26,01003,3.0,2020,2020-06-22
27,01003,5.0,2020,2020-06-29
28,01003,1.0,2020,2020-07-06
29,01003,2.0,2020,2020-07-13
30,01003,2.0,2020,2020-07-20
31,01003,1.0,2020,2020-07-27
32,01003,4.0,2020,2020-08-03
33,01003,12.0,2020,2020-08-10
34,01003,10.0,2020,2020-08-17
35,01003,17.0,2020,2020-08-24
36,01003,4.0,2020,2020-08-31
37,01003,12.0,2020,2020-09-07
38,01003,19.0,2020,2020-09-14
39,01003,22.0,2020,2020-09-21
40,01003,16.0,2020,2020-09-28
41,01003,30.0,2020,2020-10-05
42,01003,34.0,2020,2020-10-12
43,01003,105.0,2020,2020-10-19
44,01003,188.0,2020,2020-10-26
45,01003,142.0,2020,2020-11-02
46,01003,191.0,2020,2020-11-09
47,01003,116.0,2020,2020-11-16
48,01003,119.0,2020,2020-11-23
49,01003,177.0,2020,2020-11-30
50,01003,301.0,2020,2020-12-07
51,01003,461.0,2020,2020-12-14
52,01003,262.0,2020,2020-12-21
53,01003,207.0,2020,2020-12-28
1,01004,0.0,2020,2019-12-30
2,01004,0.0,2020,2020-01-06
3,01004,0.0,2020,2020-01-13
4,01004,0.0,2020,2020-01-20
5,01004,0.0,2020,2020-01-27
6,01004,0.0,2020,2020-02-03
7,01004,0.0,2020,2020-02-10
8,01004,0.0,2020,2020-02-17
9,01004,0.0,2020,2020-02-24
10,01004,0.0,2020,2020-03-02
11,01004,0.0,2020,2020-03-09
12,01004,7.0,2020,2020-03-16
13,01004,8.0,2020,2020-03-23
14,01004,17.0,2020,2020-03-30
15,01004,10.0,2020,2020-04-06
16,01004,8.0,2020,2020-04-13
17,01004,12.0,2020,2020-04-20
18,01004,4.0,2020,2020-04-27
19,01004,11.0,2020,2020-05-04
20,01004,1.0,2020,2020-05-11
21,01004,0.0,2020,2020-05-18
22,01004,0.0,2020,2020-05-25
23,01004,0.0,2020,2020-06-01
24,01004,0.0,2020,2020-06-08
25,01004,0.0,2020,2020-06-15
26,01004,0.0,2020,2020-06-22
27,01004,0.0,2020,2020-06-29
28,01004,0.0,2020,2020-07-06
29,01004,1.0,2020,2020-07-13
30,01004,4.0,2020,2020-07-20
31,01004,1.0,2020,2020-07-27
32,01004,5.0,2020,2020-08-03
33,01004,7.0,2020,2020-08-10
34,01004,4.0,2020,2020-08-17
35,01004,4.0,2020,2020-08-24
36,01004,12.0,2020,2020-08-31
37,01004,12.0,2020,2020-09-07
38,01004,25.0,2020,2020-09-14
39,01004,13.0,2020,2020-09-21
40,01004,3.0,2020,2020-09-28
41,01004,16.0,2020,2020-10-05
42,01004,29.0,2020,2020-10-12
43,01004,26.0,2020,2020-10-19
44,01004,35.0,2020,2020-10-26
45,01004,43.0,2020,2020-11-02
46,01004,50.0,2020,2020-11-09
47,01004,44.0,2020,2020-11-16
48,01004,43.0,2020,2020-11-23
49,01004,48.0,2020,2020-11-30
50,01004,66.0,2020,2020-12-07
51,01004,57.0,2020,2020-12-14
52,01004,18.0,2020,2020-12-21
53,01004,35.0,2020,2020-12-28
1,01051,0.0,2020,2019-12-30
2,01051,0.0,2020,2020-01-06
3,01051,0.0,2020,2020-01-13
4,01051,0.0,2020,2020-01-20
5,01051,0.0,2020,2020-01-27
6,01051,0.0,2020,2020-02-03
7,01051,0.0,2020,2020-02-10
8,01051,0.0,2020,2020-02-17
9,01051,0.0,2020,2020-02-24
10,01051,1.0,2020,2020-03-02
11,01051,5.0,2020,2020-03-09
12,01051,9.0,2020,2020-03-16
13,01051,9.0,2020,2020-03-23
14,01051,17.0,2020,2020-03-30
15,01051,12.0,2020,2020-04-06
16,01051,1.0,2020,2020-04-13
17,01051,0.0,2020,2020-04-20
18,01051,1.0,2020,2020-04-27
19,01051,5.0,2020,2020-05-04
20,01051,0.0,2020,2020-05-11
21,01051,0.0,2020,2020-05-18
22,01051,0.0,2020,2020-05-25
23,01051,2.0,2020,2020-06-01
24,01051,2.0,2020,2020-06-08
25,01051,8.0,2020,2020-06-15
26,01051,1.0,2020,2020-06-22
27,01051,4.0,2020,2020-06-29
28,01051,1.0,2020,2020-07-06
29,01051,0.0,2020,2020-07-13
30,01051,12.0,2020,2020-07-20
31,01051,34.0,2020,2020-07-27
32,01051,4.0,2020,2020-08-03
33,01051,19.0,2020,2020-08-10
34,01051,3.0,2020,2020-08-17
35,01051,3.0,2020,2020-08-24
36,01051,3.0,2020,2020-08-31
37,01051,14.0,2020,2020-09-07
38,01051,13.0,2020,2020-09-14
39,01051,28.0,2020,2020-09-21
40,01051,14.0,2020,2020-09-28
41,01051,27.0,2020,2020-10-05
42,01051,28.0,2020,2020-10-12
43,01051,70.0,2020,2020-10-19
44,01051,57.0,2020,2020-10-26
45,01051,50.0,2020,2020-11-02
46,01051,51.0,2020,2020-11-09
47,01051,55.0,2020,2020-11-16
48,01051,45.0,2020,2020-11-23
49,01051,64.0,2020,2020-11-30
50,01051,98.0,2020,2020-12-07
51,01051,83.0,2020,2020-12-14
52,01051,58.0,2020,2020-12-21
53,01051,73.0,2020,2020-12-28
1,01053,0.0,2020,2019-12-30
2,01053,0.0,2020,2020-01-06
3,01053,0.0,2020,2020-01-13
4,01053,0.0,2020,2020-01-20
5,01053,0.0,2020,2020-01-27
6,01053,0.0,2020,2020-02-03
7,01053,0.0,2020,2020-02-10
